cid,name,texturePath,attack,health,rarity,creatureTypes,tags,#NOTES
59,Leviathan Flare,leviathan_flare,11,9,rare,fire;water,,A large whale ready to fire a stored blast of fire.
60,Harpy,harpy,6,4,common,beast;air,,
61,Grifferberus,grifferberus,9,5,common,beast;air,,
62,Mountain Dragon,mountain_dragon,13,7,rare,beast;air,,
63,Aurai,aurai,3,6,common,air;holy,,
64,Anointed Angel,annointed_angel,4,9,rare,air;holy,,
65,Rapturous Throne,rapturous_throne,2,10,common,holy,,
66,Hand of God,hand_of_god,4,16,rare,holy,,
67,Naga,card_RIVER_WEAVER,2,8,common,holy;water,,
68,Triton Defender,triton_defender,3,12,rare,holy;water,,
69,Cockroach,card_COCKROACH,0,2,basic,beast,,
70,Breeze,breeze,1,1,basic,air,,
71,Halo,halo,1,1,basic,holy,,
72,Dew Drops,dew_drops,1,1,basic,water,,
73,Circuit Board,circuit_board,0,2,basic,mech,,
74,Pebble,pebble,1,1,basic,earth,,
75,Bones,bones,0,2,basic,necro,,
76,Candle Flame,candle_flame,1,1,basic,fire,,
77,Bone Spurs,bone_spurs,0,-3,basic,null;necro,,
78,Pacifying Chant,pacifying_chant,-3,0,basic,null;holy,,
79,Bestial Roar,bestial_roar,3,0,basic,null;beast,,
80,Burning Bolt,burning_blot,0,-3,basic,null;fire,,
81,Healing Rain,healing_rain,0,3,basic,null;water,,
82,Lithification,lithification,0,3,basic,null;earth,,
83,Overclocker,overclocker,3,0,basic,null;mech,,
84,Stong Winds,strong_winds,-3,0,basic,null;air,,
85,Iron Mouse,card_NONE,5,1,basic,mech;beast,,
86,Undying Spirit,card_NONE,4,2,basic,necro;holy,,
87,Shrapnelblast,card_NONE,2,4,basic,earth;air,,
86,Cosmic Ray,card_NONE,3,3,basic,fire;water,,
